"Class","Manufacturer","carline name","displ","cyl","trans","drv","bidx","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"TWO SEATERS","ACURA","NSX"," 3.0",6,"Auto(S4)","R",65,17,24,20,19.4,31,23.3282,"P","","","","","","","","","",1200,"DOHC","2MODE CLKUP ",4,"01"
"TWO SEATERS","ACURA","NSX"," 3.2",6,"Manual(M6)","R",75,17,24,20,19.3,31.1,23.2737,"P","","","","","","","","","",1200,"DOHC","",4,"01"
"TWO SEATERS","AUDI","TT ROADSTER"," 1.8",4,"Auto(S6)","F",18,20,28,23,22,36.2,26.7159,"P","","T","","","","","","","",1044," ","3MODE CLKUP ",5,"01"
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO"," 1.8",4,"Manual(M6)","4",18,20,28,23,22.226,36.5285,26.9797,"P","","T","","","","","","","",1044," ","",5,"01"
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO"," 3.2",6,"Auto(S6)","4",9,22,27,24,23.9,34.2,27.6469,"P","","","","","","","","","",1001," ","3MODE ",5,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 2.5",6,"Manual(M5)","R",25,20,28,23,22.4,35.7,26.9117,"P","","","","","","","","","",1044," ","",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 2.5",6,"Auto(S5)","R",25,21,28,23,22.9,35.9,27.3581,"P","","","","","","","","","",1044," ","3MODE CLKUP ",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 2.5",6,"Auto(S6)","R",25,20,29,24,22.4989,37.7865,27.5068,"P","","","","","","","","","",1001," ","4MODE ",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Manual(M6)","R",30,21,29,24,22.9,37.5,27.7643,"P","","","","","","","","","",1001," ","",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Auto(S5)","R",30,19,27,22,21.4578,34.858,25.9462,"P","","","","","","","","","",1092," ","3MODE CLKUP ",4,"01"
"TWO SEATERS","BMW","Z4 ROADSTER"," 3.0",6,"Auto(S6)","R",30,20,29,23,22.3982,37.6275,27.3861,"P","","","","","","","","","",1044," ","4MODE ",4,"01"
"TWO SEATERS","CADILLAC","XLR"," 4.6",8,"Auto(L5)","R",108,17,25,19,18.4,31.7,22.6825,"P","","","","","","","","","",1262," ","CLKUP ",4,"01"
"TWO SEATERS","CHEVROLET","CORVETTE"," 5.7",8,"Auto(L4)","R",103,18,25,21,19.7,32.5,23.9435,"P","","","","","","","","","",1142," ","CLKUP ",2,"01"
"TWO SEATERS","CHEVROLET","CORVETTE"," 5.7",8,"Manual(M6)","R",104,19,28,22,21.3,35.9,26.0713,"P","","","","","","","","","",1092," ","",2,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE"," 3.2",6,"Auto(L5)","R",260,21,28,24,23.4,35.4,27.612,"P","","","","","","","","","",1001," ","CLKUP ",3,"01"
"TWO SEATERS","CHRYSLER","CROSSFIRE"," 3.2",6,"Manual(M6)","R",260,17,25,20,18.8,32.4,23.1781,"P","","","","","","","","","",1200," ","",3,"01"
"TWO SEATERS","DODGE","VIPER CONVERTIBLE"," 8.3",10,"Manual(M6)","R",70,12,20,15,13.4,25.9,17.1176,"P","G","","","","","","","","",1601," ","",2,"01"
"TWO SEATERS","FERRARI","360 MODENA/SPIDER/CHALLENGE"," 3.6",8,"Manual(M6)","R",1,11,16,13,11.9,20.2,14.5995,"P","G","","","","","","","","",1846," ","",5,"01"
"TWO SEATERS","FERRARI","360 MODENA/SPIDER/CHALLENGE"," 3.6",8,"Auto(S6)","R",2,11,16,13,11.7,20.9,14.5901,"P","G","","","","","","","","",1846," ","2MODE ",5,"01"
"TWO SEATERS","FERRARI","360 MODENA/SPIDER/CHALLENGE"," 3.6",8,"Auto(S6)","R",1,10,16,12,11.6498,20.498,14.4583,"P","G","","","","","","","","",1999," ","3MODE ",5,"01"
"TWO SEATERS","FERRARI","FERRARI 575 M MARANELLO"," 5.7",12,"Manual(M6)","R",3,10,16,12,10.6,20.3,13.5036,"P","G","","","","","","","","",1999," ","",4,"01"
"TWO SEATERS","FERRARI","FERRARI 575 M MARANELLO"," 5.7",12,"Auto(S6)","R",3,10,17,12,11.2498,21.4,14.3025,"P","G","","","","","","","","",1999," ","3MODE ",4,"01"
"TWO SEATERS","FORD","THUNDERBIRD"," 3.9",8,"Auto(L5)","R",410,17,23,19,19.2,30.4,23.0158,"P","","","",52,8,"","","","",1262," ","CLKUP ",4,"01"
"TWO SEATERS","FORD","THUNDERBIRD"," 3.9",8,"Auto(S5)","R",411,17,24,20,19.2,31.3,23.2435,"P","","","",52,8,"","","","",1200," ","CLKUP ",4,"01"
"TWO SEATERS","HONDA","INSIGHT"," 1.0",3,"Auto(AV)","F",5,57,56,56,62.8,71.4,66.3989,"R","","","","","","","","","",376,"VTEC","EMS ",4,"01"
"TWO SEATERS","HONDA","INSIGHT"," 1.0",3,"Manual(M5)","F",1,60,66,63,67.1,84.1,73.8144,"R","","","","","","","","","",334,"VTEC-E","SIL EMS ",4,"01"
"TWO SEATERS","HONDA","S2000"," 2.2",4,"Manual(M6)","R",40,20,25,22,21.7,32.5,25.5156,"P","","","","","","","","","",1092,"VTEC","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-140/141 GALLARDO"," 5.0",10,"Manual(M6)","4",1,9,15,11,10.1,19.7,12.9369,"P","G","","","","","","","","",2182," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-140/141 GALLARDO"," 5.0",10,"Auto(S6)","4",2,10,17,12,10.6,21.9,13.8055,"P","G","","","","","","","","",1999," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-147/148 MURCIELAGO"," 6.2",12,"Manual(M6)","4",3,9,13,10,10.1,17.1,12.3806,"P","G","","","","","","","","",2400," ","",4,"01"
"TWO SEATERS","LAMBORGHINI","L-147/148 MURCIELAGO"," 6.2",12,"Auto(S6)","4",4,10,15,12,10.9,19.6,13.6207,"P","G","","","","","","","","",1999," ","",4,"01"
"TWO SEATERS","LOTUS","LOTUS ESPRIT V8"," 3.5",8,"Manual(M5)","R",1,15,22,18,16.7,28.8,20.5934,"P","G","T","","","","","","","",1334," ","",4,"01"
"TWO SEATERS","MASERATI","SPIDER CAMBIOCORSA/SPIDER GT"," 4.2",8,"Manual(M6)","R",1,12,17,13,12.8,21.2,15.5775,"P","G","","","","","","","","",1846," ","",4,"01"
"TWO SEATERS","MASERATI","SPIDER CAMBIOCORSA/SPIDER GT"," 4.2",8,"Auto(S6)","R",1,11,17,13,12.7263,21.5958,15.6116,"P","G","","","","","","","","",1846," ","3MODE ",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Auto(L4)","R",2,22,28,24,24.6,35.6,28.5729,"P","","","","","","","","","",1001," ","CLKUP ",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M5)","R",2,23,28,25,25.8,36.4,29.6908,"P","","","","","","","","","",960," ","",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M6)","R",2,23,28,25,25.7,35.6,29.3761,"P","","","","","","","","","",960," ","",4,"01"
"TWO SEATERS","MAZDA","MX-5 MIATA"," 1.8",4,"Manual(M6)","R",8,20,26,22,22.7,33,26.4093,"P","","T","","","","","","","",1092,"MIATA T/C","",4,"01"
"TWO SEATERS","MERCEDES-BENZ","SL500"," 5.0",8,"Auto(L7)","R",615,16,23,18,17.4,29.1,21.2435,"P","G","","",50,7,"","","","",1334," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL55 AMG"," 5.4",8,"Auto(S5)","R",633,14,21,17,15.7842,26.9499,19.4014,"P","G","","S",50,7,"","","","",1411," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SL600"," 5.5",12,"Auto(L5)","R",631,13,19,15,14.2,23.9,17.3729,"P","G","T","",50,7,"","","","",1601," ","EMS 2MODE CLKUP",3,"01"
"TWO SEATERS","MERCEDES-BENZ","SLK230"," 2.3",4,"Auto(L5)","R",8,22,28,24,24.2,35.7,28.3027,"P","","","S",48,10,"","","","",1001," ","EMS 2MODE CLKUP",3,"01"
