Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,DODGE,VIPER CONVERTIBLE,8.0,10,Manual(M6),R,11,21,14,12.5000,26.4000,16.3812,P,G,,,,,,,,,1660,GUZZLER,,2,1
TWO SEATERS,DODGE,VIPER COUPE,8.0,10,Manual(M6),R,11,21,14,12.5000,26.4000,16.3812,P,G,,,,,,,,,1660,GUZZLER,,2,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Manual(M6),R,11,16,13,11.9000,20.2000,14.5995,P,G,,,,,,,,,1788,GUZZLER,,5,1
TWO SEATERS,FERRARI,FERRARI 360 MODENA/SPIDER,3.6,8,Auto(S6),R,10,16,12,11.6498,20.4980,14.4583,P,G,,,,,,,,,1937,GUZZLER,3MODE,5,1
TWO SEATERS,FERRARI,FERRARI 550 MARANELLO/BARCHETTA,5.5,12,Manual(M6),R,8,13,10,9.3989,16.7000,11.7009,P,G,,,,,,,,,2325,GUZZLER,,4,1
TWO SEATERS,HONDA,INSIGHT,1.0,3,Manual(M5),F,61,68,64,67.3878,87.3962,75.1277,R,,,,,,,,,,316,,SIL,4,1
TWO SEATERS,HONDA,S2000,2.0,4,Manual(M6),R,20,26,22,22.3000,32.9000,26.0814,P,,,,,,,,,,1058,DOHC-VTEC,,4,1
TWO SEATERS,LAMBORGHINI,DB132/144 DIABLO,6.0,12,Manual(M5),4,10,13,11,11.4000,17.0000,13.3840,P,G,,,,,,,,,2113,GUZZLER,,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Auto(L4),R,22,28,24,24.5996,35.5000,28.5436,P,,,,,,,,,,970,,CLKUP,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M5),R,23,28,25,25.8000,36.4000,29.6908,P,,,,,,,,,,930,,,4,1
TWO SEATERS,MAZDA,MX-5 MIATA,1.8,4,Manual(M6),R,23,28,25,25.2000,35.8000,29.0738,P,,,,,,,,,,930,,,4,1
TWO SEATERS,MERCEDES-BENZ,SL500,5.0,8,Auto(L5),R,16,23,19,17.9343,29.2677,21.7189,P,G,,,50,8,,,,,1223,GUZZLER,EMS 2MODE CLKUP,3,1
TWO SEATERS,MERCEDES-BENZ,SL600,6.0,12,Auto(L5),R,13,19,15,14.3696,24.1254,17.5661,P,G,,,50,8,,,,,1551,GUZZLER,EMS 2MODE CLKUP,4,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Auto(L5),R,23,30,25,25.1255,37.8226,29.5965,P,,,S,48,10,,,,,930,,EMS 2MODE,4,1
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Manual(M6),R,20,29,23,22.3714,37.6644,27.3728,P,,,S,48,10,,,,,1011,,EMS,4,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Auto(L5),R,21,27,23,22.9000,35.0000,27.1189,P,,,S,48,10,,,,,1011,,EMS 2MODE,3,1
TWO SEATERS,MERCEDES-BENZ,SLK320,3.2,6,Manual(M6),R,18,27,21,20.0617,34.5790,24.7347,P,,,S,48,10,,,,,1107,,EMS,3,1
TWO SEATERS,PLYMOUTH,PROWLER,3.5,6,Auto(S4),R,17,23,19,19.0000,29.0000,22.4898,P,,,,,,,,,,1223,,VMODE CLKUP,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,19,27,22,21.5000,35.1000,26.0404,P,,,,,,,,,,1058,,,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(S5),R,17,25,20,19.4354,31.5430,23.4934,P,,,,,,,,,,1162,,2MODE,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Manual(M6),R,18,26,20,19.5000,32.7000,23.8285,P,,,,,,,,,,1162,,,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Auto(S5),R,17,24,19,18.4222,30.8691,22.5058,P,,,,,,,,,,1223,,2MODE,4,1
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M5),R,25,30,27,27.9000,38.3000,31.7838,R,,,,46,2,,,,,749,,,4,1
MINICOMPACT CARS,AUDI,TT COUPE,1.8,4,Manual(M5),F,22,31,25,24.4704,40.0469,29.6622,P,,T,,,,,,65,14,930,,,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M5),4,20,29,23,22.5000,36.6000,27.2186,P,,T,,,,,,65,11,1011,,,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M6),4,20,28,23,22.1821,35.9077,26.7904,P,,T,,,,,,65,11,1011,,,5,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Manual(M5),R,19,27,22,20.8722,34.0846,25.2823,P,,,,74,9,,,,,1058,,,4,2
MINICOMPACT CARS,BMW,325CI CONVERTIBLE,2.5,6,Auto(S5),R,19,26,21,20.7438,33.1325,24.9403,P,,,,74,9,,,,,1107,,3MODE,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3.0,6,Manual(M5),R,20,28,23,21.9000,35.8000,26.5365,P,,,,74,9,,,,,1011,,,4,2
MINICOMPACT CARS,BMW,330CI CONVERTIBLE,3.0,6,Auto(S5),R,18,26,21,20.0164,32.7719,24.2668,P,,,,74,9,,,,,1107,,3MODE,4,2
MINICOMPACT CARS,BMW,M3 CONVERTIBLE,3.2,6,Manual(M6),R,16,23,18,17.5000,29.5431,21.4314,P,G,,,74,9,,,,,1293,GUZZLER,,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4.0,8,Auto(L5),R,17,24,20,19.1354,31.0075,23.1186,P,,,,70,10,,,,,1162,,2MODE,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4.0,8,Auto(L5),R,16,22,19,18.1432,28.7881,21.7648,P,G,,S,70,10,,,,,1223,GUZZLER,2MODE,4,2
MINICOMPACT CARS,MERCEDES-BENZ,CLK320 (CABRIOLET),3.2,6,Auto(L5),R,20,28,23,22.1799,35.3396,26.6448,P,,,,76,6,,,,,1011,,EMS 2MODE CLKUP,3,2
MINICOMPACT CARS,MERCEDES-BENZ,CLK430 (CABRIOLET),4.3,8,Auto(L5),R,18,24,20,19.8000,31.2000,23.6962,P,,,,76,6,,,,,1162,,EMS 2MODE CLKUP,3,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,22,30,25,24.9270,38.2270,29.5541,R,,,,75,7,,,,,810,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,20,27,23,22.5334,34.8786,26.8023,R,,,,75,7,,,,,881,SOHC,2MODE CLKUP,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3.0,6,Manual(M5),F,20,27,22,21.7000,34.5000,26.0491,P,,,,75,7,,,,,1058,SOHC,,4,2
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3.0,6,Auto(S4),F,19,26,22,20.9470,33.3988,25.1697,P,,,,75,7,,,,,1058,SOHC,2MODE CLKUP,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Manual(M6),R,17,25,20,18.9000,32.1000,23.1915,P,,,,70,5,,,,,1162,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Manual(M6),4,17,24,19,18.5898,30.1442,22.4647,P,,,,70,5,,,,,1223,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Auto(S5),R,16,25,19,18.2213,32.3493,22.6783,P,,,,70,5,,,,,1223,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA 2/4,3.4,6,Auto(S5),4,16,24,19,18.2428,30.7628,22.3329,P,,,,70,5,,,,,1223,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Manual(M6),4,15,22,18,16.9000,27.9000,20.5451,P,G,,,70,4,,,,,1293,GUZZLER,,4,2
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Auto(S5),4,15,22,17,16.3976,28.5492,20.2824,P,G,,,70,4,,,,,1367,GUZZLER,2MODE,4,2
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Auto(L4),F,24,30,26,26.2141,39.0400,30.7619,R,,,,,,83,12,77,13,780,,,4,3
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,31,28,28.0000,39.8000,32.3108,R,,,,,,83,12,77,13,723,,,4,3
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,30,27,27.8673,38.8614,31.9326,P,,,,,,83,12,77,13,860,DOHC-VTEC,,4,3
SUBCOMPACT CARS,BENTLEY,BENTLEY AZURE,6.8,8,Auto(L4),R,11,16,13,12.6000,20.4000,15.2185,P,G,,,,,82,7,,,1788,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL SC,6.8,8,Auto(L4),R,11,16,13,12.3908,20.0453,14.9618,P,G,,,,,85,7,,,1788,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL T,6.8,8,Auto(L4),R,11,16,13,12.3908,20.0453,14.9618,P,G,,,,,85,12,,,1788,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Manual(M5),R,20,29,24,22.6367,37.6419,27.5850,P,,,,84,9,,,,,970,,,4,3
SUBCOMPACT CARS,BMW,325CI,2.5,6,Auto(S5),R,19,27,22,21.2993,34.4096,25.7068,P,,,,84,9,,,,,1058,,3MODE,4,3
SUBCOMPACT CARS,BMW,330CI,3.0,6,Manual(M5),R,21,30,24,23.0217,37.9588,27.9756,P,,,,84,9,,,,,970,,,4,3
SUBCOMPACT CARS,BMW,330CI,3.0,6,Auto(S5),R,19,27,22,21.3268,34.6842,25.7976,P,,,,84,9,,,,,1058,,3MODE,4,3
SUBCOMPACT CARS,BMW,M3,3.2,6,Manual(M6),R,16,24,19,18.0000,30.9000,22.1638,P,G,,,84,9,,,,,1223,GUZZLER,,4,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Auto(L4),R,19,31,23,21.4000,39.2466,26.9056,R,,,,84,12,,,,,881,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Manual(M5),R,19,31,23,21.2052,39.9786,26.8867,R,,,,84,12,,,,,881,,,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Auto(L4),R,18,26,21,20.1000,32.8804,24.3610,P,,,,84,12,,,,,1107,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Manual(M6),R,19,28,22,21.2633,35.8690,26.0337,P,,,,84,12,,,,,1058,,,2,3
SUBCOMPACT CARS,CHEVROLET,METRO,1.3,4,Auto(A3),F,30,34,32,33.2064,44.2000,37.3915,R,,,,,,80,10,77,8,632,,,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Auto(L4),R,10,15,11,10.6991,19.1000,13.3393,P,G,,,87,7,,,,,2113,GUZZLER,CLKUP,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Manual(M6),R,10,16,12,10.9000,20.6000,13.8306,P,G,,,87,7,,,,,1937,GUZZLER,,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2.0,4,Auto(L4),F,25,33,28,27.5000,41.9000,32.5311,R,,,,80,16,,,,,723,2.0Z,CLKUP,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2.0,4,Manual(M5),F,26,33,29,28.8000,42.9000,33.7989,R,,,,80,16,,,,,699,2.0Z,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Auto(L4),R,19,27,22,21.1777,34.3435,25.5927,R,,,,79,9,,,,,921,3.8N,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Manual(M5),R,19,29,23,21.5000,37.0000,26.4946,R,,,,79,9,,,,,881,3.8N,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,18,25,20,20.0257,31.4713,23.9444,R,,,,79,9,,,,,1012,4.6N,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,18,25,20,19.5000,31.8000,23.6094,R,,,,79,9,,,,,1012,4.6N,,2,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.7,4,Auto(AV),F,35,40,37,39.2153,50.9399,43.7463,R,,,,86,13,,,,,547,VTEC-E,,4,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.7,4,Manual(M5),F,36,44,39,40.1000,56.0000,45.9740,R,,,,86,13,,,,,518,VTEC-E,,4,3
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Manual(M5),F,22,27,24,24.7000,34.3000,28.2592,P,,,,78,9,,,,,970,DOHC-VTEC,,4,3
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Auto(S4),F,21,26,23,23.2931,33.9482,27.1241,P,,,,78,9,,,,,1011,DOHC-VTEC,2MODE,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.0,4,Auto(L4),F,21,30,25,23.7000,38.7000,28.7070,R,,,,80,13,,,,,810,,2MODE CLKUP,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.0,4,Manual(M5),F,23,31,26,26.0000,40.3000,30.9405,R,,,,80,13,,,,,780,,,4,3
SUBCOMPACT CARS,IMPCO,CAVALIER DUAL-FUEL,2.2,4,Auto(A4),F,23,30,26,25.3475,38.6000,29.9792,R,,,,,,92,7,,,780,NONE,,2,3
SUBCOMPACT CARS,IMPCO,CAVALIER DUAL-FUEL,2.2,4,Auto(A4),F,20,28,23,22.7000,35.7000,27.1487,C,,,,,,92,7,,,555,NONE,,2,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XK8,4.0,8,Auto(L5),R,17,24,20,19.1354,31.0075,23.1186,P,,,,75,11,,,,,1162,,2MODE,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XKR,4.0,8,Auto(L5),R,16,22,19,18.1432,28.7881,21.7648,P,G,,S,75,11,,,,,1223,GUZZLER,2MODE,4,3
SUBCOMPACT CARS,LEXUS,IS 300,3.0,6,Auto(S5),R,18,23,20,19.7615,29.5622,23.2266,P,,,,,,89,11,,,1162,,2MODE CLKUP,4,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320,3.2,6,Auto(L5),R,21,29,24,23.0000,36.9784,27.7144,P,,,,81,11,,,,,970,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK430,4.3,8,Auto(L5),R,18,25,21,20.2489,31.8499,24.2185,P,,,,81,11,,,,,1107,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK55 AMG,5.4,8,Auto(L5),R,17,24,20,19.4000,30.7000,23.2512,P,,,,81,11,,,,,1162,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(L4),F,20,27,23,22.7000,35.1000,26.9909,R,,,,,,,,79,17,881,SOHC,CMODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Manual(M5),F,22,30,25,24.9000,38.2000,29.5260,R,,,,,,,,79,17,810,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(S4),F,20,27,23,22.4472,34.7465,26.7002,R,,,,,,,,79,17,881,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3.0,6,Manual(M5),F,20,28,23,22.5000,36.2000,27.1184,P,,,,,,,,79,17,1011,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3.0,6,Auto(S4),F,20,28,23,21.8995,35.8000,26.5361,P,,,,,,,,79,17,1011,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,3.8,6,Auto(L4),R,19,31,23,21.4000,39.1902,26.8937,R,,,,84,12,,,,,881,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,3.8,6,Manual(M5),R,19,31,23,21.2154,39.9361,26.8871,R,,,,84,12,,,,,881,,,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,5.7,8,Auto(L4),R,18,26,21,20.1000,32.7000,24.3163,P,,,,84,12,,,,,1107,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,5.7,8,Manual(M6),R,19,28,22,20.6000,35.3000,25.3505,P,,,,84,12,,,,,1058,,,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(L3),F,23,29,26,25.8001,37.7002,30.0715,R,,,,85,11,90,13,,,780,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(L4),F,23,32,27,26.1000,41.0000,31.2028,R,,,,85,11,90,13,,,749,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Manual(M5),F,22,32,26,24.7067,41.5784,30.2260,R,,,,85,11,90,13,,,780,,SIL,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Auto(L4),F,21,28,24,23.0000,36.3000,27.5408,R,,,,85,11,90,13,,,844,,CLKUP,4,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Manual(M5),F,22,32,26,24.5000,40.5000,29.7973,R,,,,85,11,90,13,,,780,,SIL,4,3
SUBCOMPACT CARS,R-R MTR CARS LTD.,ROLLS ROYCE CORNICHE,6.8,8,Auto(L4),R,11,16,13,12.6000,20.4000,15.2185,P,G,,,,,82,7,,,1788,GUZZLER,EMS CLKUP,2,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2.0,4,Auto(L4),F,21,28,23,23.2000,35.4000,27.4584,R,,T,,80,13,,,,,881,B205L,2MODE CLKUP,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2.0,4,Auto(L4),F,21,28,24,23.4000,36.3000,27.8544,P,,T,,80,13,,,,,970,B205R,2MODE CLKUP,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2.0,4,Manual(M5),F,22,30,25,24.4000,38.7000,29.2664,P,,T,,80,13,,,,,930,B205R,SIL,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2.0,4,Manual(M5),F,21,29,24,23.8000,36.6000,28.2451,R,,T,,80,13,,,,,844,B205L,SIL,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 VIGGEN CONVERTIBLE,2.3,4,Manual(M5),F,20,31,24,22.7000,39.4000,28.0502,P,,T,,80,13,,,,,970,B235R,,4,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,26,36,29,28.7000,45.6000,34.4445,R,,,,84,11,,,,,699,SOHC,CLKUP,8,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,25,35,29,27.9786,45.2908,33.7910,R,,,,84,11,,,,,699,DOHC,CLKUP,8,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,28,40,33,31.6049,51.3020,38.2060,R,,,,84,11,,,,,614,SOHC,SIL,8,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,27,38,31,29.9000,48.4000,36.1113,R,,,,84,11,,,,,654,DOHC,SIL,8,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.2,4,Auto(L4),4,23,29,25,25.4605,37.4616,29.7492,R,,,,,,84,11,,,810,,CLKUP,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.2,4,Manual(M5),4,23,29,25,25.0743,37.1555,29.3720,R,,,,,,84,11,,,810,,,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Auto(L4),4,23,28,25,25.2000,36.2000,29.1917,R,,,,,,84,11,,,810,,CLKUP,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Manual(M5),4,21,28,23,23.1000,35.5000,27.4081,R,,,,,,84,11,,,881,,,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.6,4,Auto(L4),F,27,34,30,30.2000,43.4000,34.9888,R,,,,,,86,12,,,674,,CLKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.6,4,Manual(M5),F,30,37,33,33.6000,47.1000,38.5755,R,,,,,,86,12,,,614,,,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Auto(L4),F,26,33,29,28.8000,42.5000,33.6865,R,,,,,,86,12,,,699,,CLKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Manual(M5),F,28,35,31,31.4000,44.4000,36.1650,R,,,,,,86,12,,,654,,,4,3
SUBCOMPACT CARS,SUZUKI,SWIFT,1.3,4,Auto(A3),F,30,34,32,33.2064,44.2000,37.3915,R,,,,,,,,77,8,632,,,4,3
SUBCOMPACT CARS,SUZUKI,SWIFT,1.3,4,Manual(M5),F,36,42,39,40.4000,54.2000,45.6278,R,,,,,,,,77,8,518,,SIL,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,2.2,4,Auto(L4),F,21,29,24,23.6000,36.9000,28.1689,R,,,,90,9,,,,,844,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,3.0,6,Auto(L4),F,19,26,21,20.9000,33.1000,25.0558,R,,,,90,9,,,,,964,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(L4),F,29,36,31,31.8000,45.8000,36.8719,R,,,,,,,,78,17,654,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M5),F,28,33,30,30.8997,42.4000,35.1955,R,,,,,,,,78,17,674,,,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M6),F,23,32,26,25.7000,40.5000,30.7580,P,,,,,,,,78,17,895,,,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(S4),F,23,30,26,25.6335,38.0990,30.0592,P,,,,,,,,78,17,895,,CLKUP,4,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2.0,4,Auto(L4),F,22,28,24,24.6376,35.8689,28.6786,R,,,,82,8,,,,,844,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2.0,4,Manual(M5),F,24,31,27,26.6159,39.3411,31.1500,R,,,,82,8,,,,,749,,,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.8,4,Auto(L4),F,23,29,25,25.2245,36.6153,29.3306,P,,T,,,,,,85,12,930,,CLKUP,5,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.8,4,Manual(M5),F,25,31,27,27.3699,39.2601,31.6886,P,,T,,,,,,85,12,860,,,5,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.9,4,Auto(L4),F,34,44,38,37.9945,56.5504,44.5766,D,,T,,,,,,85,12,513,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.9,4,Manual(M5),F,42,49,45,46.4592,62.9103,52.6555,D,,T,,,,,,85,12,433,,,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2.0,4,Auto(L4),F,22,28,24,24.6376,35.8689,28.6786,R,,,,,,,,85,12,844,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2.0,4,Manual(M5),F,24,31,27,26.6159,39.3411,31.1500,R,,,,,,,,85,12,749,,,2,3
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,2.3,5,Auto(L5),F,20,26,22,22.0000,33.3000,25.9649,P,,T,,88,8,,,,,1058,,CLKUP,4,3
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,2.3,5,Manual(M5),F,21,28,23,22.8000,35.7000,27.2273,P,,T,,88,8,,,,,1011,,,4,3
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,2.4,5,Auto(L5),F,20,27,23,22.1002,34.7002,26.4167,P,,T,,88,8,,,,,1011,,CLKUP,4,3
COMPACT CARS,ACURA,3.2CL,3.2,6,Auto(S5),F,19,29,23,21.3967,37.4409,26.5084,P,,,,90,14,,,,,1011,SOHC-VTEC,2MODE,4,4
COMPACT CARS,AUDI,A4,1.8,4,Manual(M5),F,23,32,26,25.2000,40.6000,30.3867,P,,T,,,,88,14,,,895,,,5,4
COMPACT CARS,AUDI,A4,1.8,4,Auto(S5),F,20,29,23,22.3007,36.5466,27.0446,P,,T,,,,88,14,,,1011,,CLKUP,5,4
COMPACT CARS,AUDI,A4,2.8,6,Auto(S5),F,18,26,21,19.8837,33.3481,24.2985,P,,,,,,88,14,,,1107,,CLKUP,5,4
